t,u,v
45.3,1.59114,0.837584
45.4,1.58287,0.850445
45.5,1.57455,0.863158
45.6,1.5662,0.875723
45.7,1.55781,0.888141
45.8,1.54937,0.900413
45.9,1.54089,0.912538
46,1.53237,0.924519
46.1,1.5238,0.936354
46.2,1.51518,0.948046
46.3,1.50651,0.959593
46.4,1.4978,0.970998
46.5,1.48902,0.982259
46.6,1.4802,0.993379
46.7,1.47131,1.00436
46.8,1.46236,1.01519
46.9,1.45336,1.02589
47,1.44429,1.03644
47.1,1.43515,1.04686
47.2,1.42594,1.05713
47.3,1.41666,1.06727
47.4,1.4073,1.07726
47.5,1.39786,1.08712
47.6,1.38835,1.09684
47.7,1.37874,1.10642
47.8,1.36905,1.11586
47.9,1.35927,1.12516
48,1.34938,1.13433
48.1,1.3394,1.14335
48.2,1.32931,1.15224
48.3,1.31911,1.16099
48.4,1.30879,1.1696
48.5,1.29835,1.17808
48.6,1.28779,1.18641
48.7,1.27709,1.19461
48.8,1.26625,1.20267
48.9,1.25526,1.21059
49,1.24411,1.21837
49.1,1.23281,1.22601
49.2,1.22133,1.23351
49.3,1.20967,1.24087
49.4,1.19781,1.24809
49.5,1.18576,1.25516
49.6,1.17349,1.2621
49.7,1.16099,1.26889
49.8,1.14826,1.27553
49.9,1.13526,1.28203
50,1.122,1.28838
50.1,1.10845,1.29458
50.2,1.09459,1.30063
50.3,1.08041,1.30653
50.4,1.06587,1.31228
50.5,1.05096,1.31787
50.6,1.03565,1.3233
50.7,1.0199,1.32858
50.8,1.0037,1.33369
50.9,0.986991,1.33863
51,0.969745,1.34341
51.1,0.951918,1.34801
51.2,0.933459,1.35244
51.3,0.914315,1.35668
51.4,0.894425,1.36074
51.5,0.873724,1.36461
51.6,0.852134,1.36828
51.7,0.829572,1.37175
51.8,0.805943,1.37501
51.9,0.781138,1.37805
52,0.755037,1.38086
52.1,0.727501,1.38343
52.2,0.698373,1.38576
52.3,0.667475,1.38782
52.4,0.634601,1.38961
52.5,0.599519,1.39111
52.6,0.561961,1.3923
52.7,0.521618,1.39316
52.8,0.478139,1.39367
52.9,0.431119,1.39379
53,0.380097,1.39352
53.1,0.324546,1.3928
53.2,0.263872,1.3916
53.3,0.197409,1.38988
53.4,0.124424,1.38758
53.5,0.0441355,1.38466
53.6,-0.0442637,1.38106
53.7,-0.141547,1.3767
53.8,-0.248364,1.37152
53.9,-0.365114,1.36544
54,-0.491752,1.35839
54.1,-0.627575,1.3503
54.2,-0.770984,1.34112
54.3,-0.919323,1.33082
54.4,-1.06888,1.31939
54.5,-1.21516,1.30686
54.6,-1.35341,1.29331
54.7,-1.47937,1.27885
54.8,-1.58991,1.26359
54.9,-1.68346,1.24769
55,-1.75995,1.23128
55.1,-1.82054,1.21449
55.2,-1.86716,1.19743
55.3,-1.90203,1.18021
55.4,-1.92738,1.16289
55.5,-1.94519,1.14554
55.6,-1.95717,1.12821
55.7,-1.96469,1.11093
55.8,-1.96884,1.09372
55.9,-1.97046,1.07661
56,-1.97018,1.05961
56.1,-1.9685,1.04274
56.2,-1.96577,1.02599
56.3,-1.96226,1.00938
56.4,-1.95818,0.992909
56.5,-1.95367,0.976577
56.6,-1.94885,0.960388
56.7,-1.94378,0.944342
56.8,-1.93855,0.928441
56.9,-1.93319,0.912684
57,-1.92773,0.897071
57.1,-1.9222,0.881602
57.2,-1.91662,0.866276
57.3,-1.91101,0.851092
57.4,-1.90537,0.83605
57.5,-1.89971,0.82115
57.6,-1.89404,0.806389
57.7,-1.88836,0.791769
57.8,-1.88267,0.777286
57.9,-1.87698,0.762942
58,-1.8713,0.748734
58.1,-1.86561,0.734662
58.2,-1.85993,0.720726
58.3,-1.85425,0.706923
58.4,-1.84857,0.693254
58.5,-1.8429,0.679717
58.6,-1.83723,0.666312
58.7,-1.83157,0.653038
58.8,-1.82591,0.639893
